Random,Ordered,Reverse,Shuffle
0.3969399,0.0005088,0.4122233,0.3869003
0.3858043,0.0004259,0.4114548,0.392202
0.3821361,0.0004047,0.412743,0.3841258
0.3891906,0.0004035,0.4098863,0.3846169
0.3877122,0.0004037,0.4158349,0.3871519
0.3835044,0.0004243,0.4112444,0.3856505
0.3821668,0.0004241,0.4113617,0.3816086
0.3825664,0.0004044,0.4145935,0.3850492
0.37897,0.0004037,0.4120131,0.382398
0.3817016,0.0004038,0.411291,0.3818546
0.3816853,0.000438,0.4091906,0.3853883
0.3806299,0.0004028,0.4095154,0.3827815
0.3813529,0.0004026,0.4129929,0.3848728
0.3794538,0.0004026,0.4131397,0.3848353
0.3826198,0.0004032,0.4132193,0.3847209
0.3799726,0.0004034,0.4106374,0.3875587
0.3822986,0.0004026,0.4119578,0.3849708
0.3790486,0.0004026,0.4133647,0.3860425
0.3833433,0.0004154,0.4110298,0.3839135
0.3849032,0.000406,0.4127465,0.3837991
0.3830384,0.0004028,0.4141362,0.3853084
0.379099,0.0004471,0.4106335,0.3817457
0.3792812,0.0004251,0.4123293,0.3850609
0.3796132,0.0004251,0.4114262,0.3834208
0.384745,0.0004248,0.412075,0.3845788
0.3832297,0.0004333,0.4122299,0.3863292
0.3818177,0.000424,0.4112128,0.3857485
0.3798154,0.0004246,0.4128284,0.3873585
0.3819618,0.0004251,0.411693,0.3827031
0.3822159,0.0004352,0.4123243,0.3839871
0.3865335,0.0004246,0.4096137,0.3875574
0.3846747,0.0004459,0.4156131,0.3846266
0.3811923,0.0004245,0.410819,0.3867441
0.3786312,0.0004239,0.4119228,0.3851706
0.3833863,0.0004161,0.4090918,0.3838875
0.3828942,0.0004038,0.4120661,0.3859796
0.3812227,0.0004251,0.4140236,0.3854913
0.3795553,0.0004043,0.4115753,0.3853918
0.3804834,0.0004037,0.4132143,0.3876366
0.3807622,0.0004035,0.409395,0.3842622
0.383659,0.0004044,0.411642,0.3847286
0.3818155,0.0004191,0.412685,0.3854524
0.3828462,0.0004453,0.4107562,0.3834006
0.381785,0.0004245,0.4151601,0.3859861
0.3808708,0.0004181,0.4116502,0.3853765
0.38445,0.0004368,0.4113819,0.3844586
0.3814041,0.0004246,0.4121555,0.3864381
0.3816083,0.0004245,0.4113558,0.384321
0.3820583,0.0004143,0.4115835,0.3852622
0.3832877,0.0004248,0.4123594,0.3833288
0.3813476,0.0004249,0.412104,0.3828728
0.3843345,0.0004245,0.4127335,0.3870425
0.3813142,0.000426,0.4106965,0.3834913
0.3796353,0.0004447,0.412786,0.3857441
0.3804635,0.0004242,0.4109935,0.3840928
0.3844527,0.0004242,0.4118802,0.3833872
0.3829691,0.0004251,0.4135145,0.3880162
0.3801138,0.000425,0.4124833,0.3838889
0.3795301,0.0004245,0.4119969,0.3862558
0.3805782,0.0004246,0.410197,0.3824469
0.3812704,0.0004245,0.4131856,0.3852587
0.3829155,0.0004455,0.4115807,0.3864161
0.3783441,0.0004401,0.4187586,0.3835794
0.3821905,0.000467,0.4103217,0.3842336
0.3807051,0.0004451,0.4117807,0.383804
0.3825565,0.0004252,0.4125998,0.3837096
0.383197,0.0004356,0.4101473,0.3861227
0.3808685,0.0004246,0.4138016,0.3853154
0.3833219,0.0004163,0.410535,0.3854703
0.3803309,0.0004977,0.4121114,0.3830421
0.3815844,0.0004257,0.4091339,0.3838768
0.3841478,0.0004451,0.4065662,0.3846905
0.3835899,0.0004348,0.4108346,0.3864962
0.383326,0.0004251,0.4107325,0.3839655
0.3789129,0.0004252,0.4135988,0.3871516
0.3801838,0.0004243,0.4124741,0.3840168
0.3814939,0.0004245,0.4114624,0.3851031
0.384379,0.0004242,0.4098794,0.3924644
0.3836189,0.0004251,0.4101897,0.3828856
0.3831703,0.0004247,0.4094527,0.3838059
0.3804886,0.0004245,0.4124015,0.3853143
0.3791542,0.0004245,0.4117922,0.3826519
0.3834146,0.0004248,0.411702,0.3871003
0.3816844,0.0004507,0.4103258,0.384169
0.3855009,0.0004453,0.4132659,0.3930403
0.3809822,0.0004248,0.4132799,0.3846744
0.3799546,0.0004245,0.4110463,0.3853154
0.3861095,0.0004258,0.4136731,0.3866926
0.3828027,0.0004453,0.4109334,0.3826437
0.3838637,0.0004242,0.4126989,0.3850347
0.382475,0.0004245,0.4108274,0.3844544
0.3833447,0.0004243,0.4113591,0.3843032
0.3828804,0.0004869,0.4113083,0.3867596
0.380603,0.0004424,0.4081923,0.3830641
0.3818838,0.0004248,0.4105384,0.3849647
0.3824386,0.0004043,0.4088507,0.3847895
0.3776408,0.0004035,0.4117295,0.3847757
0.3791685,0.0004035,0.4106912,0.3850401
0.383577,0.0004038,0.4101873,0.387245
0.3821004,0.0004246,0.41391,0.3830938
