Random,Ordered,Reversed,Shuffled
80.467992,0.0002224,133.0109082,5.105038
79.0259914,0.0002215,135.2228731,4.726449
76.231631,0.0002221,136.6909952,4.952556
76.7020242,0.0002215,136.3410761,4.8570986
79.6570701,0.0002227,131.8455458,4.8288266
78.8551618,0.0002218,134.9349722,4.6686551
77.9330735,0.0002218,135.6863775,5.18444
78.6632508,0.0002218,131.7857135,5.0277885
76.2952631,0.0002227,136.4593007,4.5180824
78.7198604,0.0002218,136.4333012,4.9192951
77.7211884,0.0002221,137.912612,4.9587844
77.1861705,0.000222,135.7154372,4.8979481
78.4432878,0.0002228,137.3429577,5.0633021
80.3633918,0.0002221,134.3454965,5.1364485
79.7103591,0.000222,138.3085093,4.9641482
77.7558948,0.000222,138.7979856,5.0298111
76.8680796,0.000222,138.0672956,4.9227732
75.5273286,0.0002217,138.0992023,4.6813256
75.8724456,0.0002217,136.8095915,4.8833802
75.4216675,0.000222,135.8821778,4.8473884
76.92839,0.0002217,136.3416136,5.0933425
74.7942548,0.0002227,137.0449976,5.0814418
77.8361599,0.0002218,136.3658457,5.0626223
75.0581134,0.0002218,136.8420084,5.1303719
77.563975,0.0002221,136.1945798,4.8753293
75.0424162,0.000223,137.8077078,5.0742616
74.7090654,0.0002221,137.4644628,5.2748338
78.8957052,0.0002218,132.2168968,4.856837
76.3458216,0.0002218,132.7907949,4.9372707
75.2347145,0.0002224,136.6929869,5.1401586
76.2256798,0.0002218,136.6446488,5.2255017
79.9014057,0.0002217,136.0715981,5.0379618
80.6703396,0.000222,139.4609104,5.2627598
78.0941521,0.0002231,137.9629896,5.3970934
74.1415038,0.0002224,138.6888919,5.5463927
75.8229551,0.0002214,139.0087698,5.0545661
74.4892508,0.0002217,142.4560031,4.8212377
74.1859619,0.0002217,135.5593205,5.1371695
74.8252473,0.0002238,141.8977626,5.3270435
72.5757369,0.0002218,138.5477452,4.8742423
74.0823201,0.0002217,138.9935292,5.0242754
76.6908313,0.0002217,134.1956779,4.5868735
73.5722896,0.0002226,131.2970489,4.9857506
74.9861842,0.000222,133.4647455,5.2627996
76.5113244,0.0002217,134.7108598,5.1919332
77.8685349,0.000222,139.9473482,4.6422776
74.5424043,0.0002226,139.8211642,4.9870025
76.1378605,0.0002218,141.5849131,4.6336009
76.9993323,0.0002221,135.7421157,4.6083134
74.4856449,0.0002221,134.5076054,5.0525193
77.6977727,0.0002227,136.0226504,4.7271784
77.505964,0.0002221,138.4312752,5.5823777
78.6355686,0.0002221,137.3323479,4.8757224
77.0418943,0.0002215,141.7368473,5.3483031
75.3070084,0.0002215,138.0949346,5.0272336
77.7357045,0.0002218,136.4893836,5.11661
77.6938497,0.0002214,138.9505841,5.1036263
78.5074818,0.0002217,137.3355286,5.0054432
80.2264477,0.0002217,136.3569433,5.0405373
79.6935297,0.0002247,132.5734543,4.9183873
73.1235312,0.0002218,137.3024946,4.6962195
67.3109783,0.0002217,139.8910311,4.9693694
68.646329,0.0002217,140.8455385,4.8856594
68.0002052,0.0002225,137.5662055,4.6198468
65.7568345,0.000222,137.0699002,5.0790643
63.4497161,0.0002218,137.7036619,4.9011158
64.6000727,0.0002218,136.4706133,4.7915862
65.6216394,0.0002227,137.0163763,4.708733
64.6438416,0.0002218,133.6708061,4.9144543
63.9028323,0.0002218,137.1476519,4.904623
65.9263598,0.0002218,134.8072263,4.8414171
67.1029057,0.0002227,134.8179688,5.2447437
67.8459443,0.0002224,135.0912593,5.202421
66.7481946,0.0002221,135.7830828,5.0299361
65.846428,0.0002221,135.5353838,4.9807466
68.2284176,0.0002221,134.1199599,4.9312001
64.2693011,0.0002265,137.2647674,4.8476754
63.0713625,0.0002217,136.2716645,5.0586905
66.8465078,0.0002218,135.0186107,4.9944549
67.0610249,0.0002221,137.0236957,5.1311091
63.3047609,0.0002229,138.4114591,5.009897
65.5326577,0.0002218,137.6271388,4.8463902
67.6578168,0.0002218,138.2488472,4.8755139
67.8360817,0.000222,140.8893389,4.8444791
67.028803,0.0002229,138.0006363,4.7530858
66.1478522,0.0002218,140.0609403,5.0265583
66.5071453,0.000222,135.258205,5.1721608
67.0737444,0.000222,134.7246405,4.9422586
64.5881922,0.0002229,132.5758649,5.1475001
66.8030976,0.0002217,134.0196242,5.243473
69.4167786,0.0002217,136.5915527,4.9981613
66.3865113,0.0002221,138.3196804,5.1860082
65.3696725,0.0002221,137.701713,5.0100641
66.6399109,0.0002247,140.5889871,5.0795749
65.7233569,0.0002218,136.179253,4.6120001
66.5589276,0.0002218,138.8996994,5.2280632
66.993949,0.0002221,136.631116,4.9787882
66.4151791,0.0002226,138.3749015,4.9295205
66.1954459,0.0002217,135.5468605,5.0732539
65.4072739,0.000222,137.6423202,4.9323907
