Random,Ordered,Reverse,Shuffle
300.0013555,0.3956696,300.0009849,300.0011547
300.0010099,0.3968648,300.0011562,300.0015296
300.0009927,0.3952667,300.0010562,300.0010571
300.0009608,0.3961578,300.0009278,300.0016475
300.0015492,0.3987775,300.0013786,300.0013935
300.0013975,0.3952567,300.0009532,300.0010319
300.0010155,0.3970584,300.001612,300.001364
300.0009465,0.3956236,300.0014172,300.000993
300.0013738,0.3960844,300.001497,300.0015869
300.0014682,0.3975632,300.0014149,300.0009824
300.0010503,0.3962769,300.0013827,300.0009825
300.0013633,0.3959398,300.0009915,300.0009842
300.0014866,0.3944246,300.0010738,300.0013593
300.0013353,0.3947245,300.000981,300.0013689
300.0015211,0.398807,300.0010278,300.0009774
300.0011422,0.395305,300.0009885,300.0008197
300.0009557,0.3967803,300.0009398,300.0010605
300.0013584,0.3955937,300.0010106,300.0010718
300.0013777,0.3952005,300.0009759,300.0014447
300.0010061,0.3979717,300.0015936,300.0010108
300.0009754,0.3955627,300.0010064,300.0015512
300.0013546,0.3977488,300.0013546,300.0009895
300.0010158,0.3958093,300.0009743,300.0015474
300.001449,0.3953579,300.0010003,300.0013722
,0.3970995,,
,0.3949792,,
,0.3960902,,
,0.3948898,,
,0.3957458,,
,0.3969945,,
,0.3958026,,
,0.3959541,,
,0.3955643,,
,0.3947374,,
,0.3981651,,
,0.3962116,,
,0.3966067,,
,0.3958494,,
,0.3955021,,
,0.4010145,,
,0.4051848,,
,0.3962038,,
,0.3956367,,
,0.3958214,,
,0.3969498,,
,0.396962,,
,0.3973134,,
,0.3955135,,
,0.3957612,,
,0.3977684,,
,0.395144,,
,0.3962695,,
,0.3955671,,
,0.3957544,,
,0.3963195,,
,0.3974749,,
,0.400645,,
,0.4045574,,
,0.3963602,,
,0.3984536,,
,0.3985799,,
,0.3968614,,
,0.3957425,,
,0.3959981,,
,0.3964722,,
,0.3980478,,
,0.3970205,,
,0.3952415,,
,0.3947868,,
,0.3957096,,
,0.3982074,,
,0.396841,,
,0.3961168,,
,0.3950937,,
,0.3955897,,
,0.3971165,,
,0.3962123,,
,0.3954322,,
,0.3955876,,
,0.397018,,
,0.3983936,,
,0.39725,,
,0.3954424,,
,0.3963111,,
,0.3956013,,
,0.3971741,,
,0.3967779,,
,0.396185,,
,0.3951206,,
,0.3949837,,
,0.3970551,,
,0.3957536,,
,0.3953208,,
,0.3958445,,
,0.3951379,,
,0.3974799,,
,0.3971089,,
,0.3953816,,
,0.395738,,
,0.3955811,,
