Random,Ordered,Reverse,Shuffle
0.0000062,0.0000035,0.0000035,0.0000035
0.0000044,0.0000035,0.0000035,0.0000035
0.0000059,0.0000032,0.0000032,0.0000035
0.000012,0.0000035,0.0000029,0.0000035
0.0000036,0.0000032,0.0000032,0.0000032
0.0000033,0.0000032,0.0000032,0.0000032
0.0000032,0.0000033,0.0000044,0.0000032
0.0000032,0.0000032,0.0000079,0.0000033
0.0000044,0.0000032,0.0000032,0.0000033
0.0000032,0.0000032,0.0000032,0.0000117
0.0000033,0.0000032,0.0000033,0.0000052
0.0000032,0.0000032,0.000003,0.0000049
0.0000032,0.0000033,0.0000108,0.000005
0.0000029,0.000007,0.0000032,0.000005
0.0000073,0.0000032,0.0000035,0.0000055
0.0000032,0.0000044,0.000003,0.000015
0.0000033,0.0000041,0.000003,0.0000053
0.0000029,0.0000033,0.0000029,0.0000053
0.0000082,0.0000029,0.0000032,0.0000035
0.0000032,0.0000029,0.0000032,0.0000032
0.0000044,0.0000032,0.0000032,0.0000032
0.0000032,0.0000032,0.0000029,0.0000035
0.0000032,0.0000033,0.0000032,0.0000032
0.0000029,0.0000032,0.0000033,0.0000033
0.0000047,0.0000032,0.000003,0.000003
0.0000033,0.0000032,0.0000032,0.0000032
0.0000041,0.0000032,0.0000032,0.0000032
0.0000032,0.0000033,0.0000032,0.0000032
0.000003,0.0000033,0.0000029,0.0000032
0.0000029,0.0000032,0.0000032,0.0000032
0.0000032,0.0000029,0.0000029,0.0000032
0.0000033,0.0000032,0.0000032,0.000003
0.0000038,0.0000029,0.000003,0.0000032
0.000003,0.000003,0.0000033,0.0000032
0.0000032,0.0000032,0.0000033,0.0000064
0.0000032,0.0000032,0.0000035,0.0000032
0.0000033,0.0000032,0.0000032,0.0000032
0.0000032,0.0000029,0.0000029,0.0000035
0.0000038,0.000003,0.0000032,0.0000032
0.0000032,0.0000032,0.000007,0.0000032
0.0000032,0.0000041,0.0000032,0.0000032
0.0000032,0.0000032,0.0000032,0.0000032
0.0000033,0.0000032,0.0000032,0.0000033
0.0000105,0.0000032,0.0000032,0.0000084
0.0000032,0.0000053,0.0000032,0.0000032
0.0000032,0.0000032,0.0000033,0.0000032
0.0000032,0.0000032,0.0000033,0.0000032
0.0000033,0.0000032,0.0000032,0.0000032
0.0000032,0.0000033,0.0000029,0.0000032
0.0000032,0.0000032,0.0000032,0.0000032
0.0000047,0.0000032,0.0000029,0.0000032
0.0000032,0.0000032,0.0000029,0.0000032
0.0000033,0.0000029,0.0000056,0.000003
0.0000032,0.0000033,0.0000036,0.0000033
0.0000032,0.0000032,0.0000032,0.0000032
0.0000094,0.0000032,0.0000032,0.0000032
0.0000032,0.0000032,0.0000032,0.0000032
0.0000029,0.0000032,0.0000032,0.0000032
0.0000032,0.0000029,0.0000032,0.0000046
0.0000033,0.000003,0.0000032,0.0000032
0.0000032,0.0000035,0.0000032,0.0000035
0.0000032,0.0000044,0.0000044,0.0000032
0.0000032,0.0000033,0.0000032,0.0000032
0.000003,0.0000032,0.0000032,0.0000032
0.0000032,0.0000041,0.0000032,0.0000033
0.0000032,0.0000032,0.0000032,0.0000033
0.0000033,0.0000029,0.0000032,0.0000032
0.0000058,0.0000032,0.0000032,0.0000032
0.0000032,0.0000029,0.0000032,0.0000032
0.0000033,0.0000033,0.0000029,0.0000032
0.0000076,0.0000032,0.0000082,0.0000032
0.0000032,0.0000032,0.0000032,0.0000032
0.0000032,0.0000032,0.0000029,0.0000032
0.0000032,0.0000032,0.0000038,0.0000032
0.0000033,0.0000032,0.0000032,0.0000033
0.0000032,0.0000033,0.0000033,0.0000033
0.0000032,0.0000058,0.0000032,0.0000032
0.0000032,0.0000032,0.0000032,0.0000032
0.0000032,0.0000032,0.0000032,0.0000032
0.0000044,0.0000035,0.0000032,0.0000035
0.0000032,0.0000033,0.0000032,0.0000035
0.0000079,0.0000033,0.0000032,0.0000035
0.0000032,0.0000032,0.0000035,0.0000032
0.0000029,0.0000033,0.0000032,0.0000032
0.0000033,0.0000029,0.0000033,0.0000032
0.0000032,0.0000032,0.0000033,0.0000032
0.0000032,0.0000032,0.0000032,0.0000032
0.0000032,0.0000032,0.0000029,0.0000033
0.0000033,0.0000091,0.0000032,0.0000033
0.0000032,0.0000032,0.0000029,0.0000073
0.0000032,0.0000032,0.0000032,0.0000035
0.0000085,0.0000032,0.0000032,0.0000032
0.0000032,0.0000032,0.0000032,0.000003
0.0000029,0.0000036,0.0000033,0.0000033
0.0000035,0.0000032,0.0000033,0.0000032
0.0000033,0.0000029,0.0000032,0.0000029
0.0000032,0.0000029,0.0000032,0.0000032
0.0000032,0.0000032,0.0000032,0.0000094
0.0000033,0.0000033,0.0000058,0.0000032
0.0000032,0.0000032,0.0000032,0.0000032
