Random,Ordered,Reverse,Shuffle
0.0000044,0.0000018,0.0000018,0.0000018
0.0000021,0.0000017,0.0000018,0.0000017
0.000002,0.0000015,0.0000017,0.0000018
0.0000018,0.0000014,0.0000018,0.0000014
0.0000017,0.0000015,0.0000015,0.0000018
0.0000018,0.0000014,0.0000017,0.0000024
0.0000017,0.0000018,0.0000018,0.0000017
0.0000018,0.0000014,0.0000014,0.0000017
0.0000018,0.0000015,0.0000018,0.0000015
0.0000017,0.0000017,0.0000018,0.0000015
0.0000015,0.0000015,0.0000017,0.0000017
0.0000017,0.0000015,0.0000018,0.0000018
0.0000015,0.0000018,0.0000017,0.0000017
0.0000014,0.0000018,0.0000018,0.0000015
0.0000018,0.0000015,0.0000017,0.0000015
0.0000018,0.0000015,0.0000017,0.0000015
0.0000017,0.0000015,0.0000018,0.0000018
0.0000018,0.0000015,0.0000017,0.0000017
0.0000017,0.0000017,0.0000018,0.0000018
0.0000018,0.0000015,0.0000015,0.0000017
0.0000017,0.0000017,0.0000017,0.0000015
0.0000015,0.0000018,0.0000018,0.0000015
0.0000018,0.0000014,0.0000014,0.0000017
0.0000017,0.0000018,0.0000018,0.0000015
0.0000018,0.0000014,0.0000017,0.0000014
0.0000017,0.0000018,0.0000015,0.0000018
0.0000018,0.0000014,0.0000018,0.0000017
0.0000017,0.0000015,0.0000017,0.0000018
0.0000018,0.0000018,0.0000018,0.0000018
0.0000018,0.0000014,0.0000014,0.0000017
0.0000017,0.0000015,0.0000015,0.0000015
0.0000018,0.0000017,0.0000015,0.0000017
0.0000017,0.0000015,0.0000014,0.0000018
0.0000018,0.0000014,0.0000018,0.0000017
0.0000017,0.0000015,0.0000017,0.0000015
0.0000018,0.0000014,0.0000015,0.0000015
0.0000018,0.0000018,0.0000018,0.0000017
0.0000017,0.0000014,0.0000017,0.0000018
0.0000018,0.0000015,0.0000018,0.0000017
0.0000017,0.0000017,0.0000017,0.0000018
0.0000018,0.0000015,0.0000015,0.0000017
0.0000017,0.0000018,0.0000018,0.0000018
0.0000018,0.0000014,0.0000017,0.0000015
0.0000017,0.0000015,0.0000018,0.0000014
0.0000018,0.0000014,0.0000017,0.0000015
0.0000018,0.0000018,0.0000015,0.0000017
0.0000017,0.0000017,0.0000018,0.0000018
0.0000018,0.0000018,0.0000017,0.0000018
0.0000017,0.0000014,0.0000018,0.0000017
0.0000018,0.0000015,0.0000017,0.0000018
0.0000018,0.0000014,0.0000018,0.0000017
0.0000017,0.0000015,0.0000018,0.0000018
0.0000015,0.0000017,0.0000018,0.0000014
0.0000017,0.0000015,0.0000017,0.0000015
0.0000018,0.0000017,0.0000026,0.0000018
0.0000017,0.0000015,0.0000026,0.0000017
0.0000018,0.0000015,0.0000023,0.0000015
0.0000018,0.0000018,0.0000027,0.0000017
0.0000014,0.0000015,0.0000027,0.0000014
0.0000018,0.0000014,0.0000027,0.0000018
0.0000017,0.0000018,0.0000027,0.0000017
0.0000018,0.0000014,0.0000024,0.0000018
0.0000018,0.0000015,0.0000017,0.0000017
0.0000017,0.0000017,0.0000018,0.0000018
0.0000018,0.0000018,0.0000018,0.0000018
0.0000017,0.0000017,0.0000014,0.0000017
0.0000018,0.0000015,0.0000018,0.0000018
0.0000018,0.0000017,0.0000017,0.0000017
0.0000017,0.0000015,0.0000015,0.0000018
0.0000018,0.0000015,0.0000018,0.0000014
0.0000017,0.0000018,0.0000014,0.0000018
0.0000018,0.0000018,0.0000018,0.0000015
0.0000018,0.0000017,0.0000017,0.0000014
0.0000017,0.0000015,0.000002,0.0000015
0.0000018,0.0000014,0.0000018,0.0000014
0.0000017,0.0000015,0.0000017,0.0000015
0.0000018,0.0000014,0.0000018,0.0000014
0.0000018,0.0000018,0.0000018,0.0000017
0.0000017,0.0000014,0.0000017,0.0000024
0.0000018,0.0000018,0.0000018,0.0000018
0.0000014,0.0000017,0.0000017,0.0000018
0.0000018,0.0000018,0.0000015,0.0000017
0.0000018,0.0000017,0.0000018,0.0000018
0.0000017,0.0000015,0.0000014,0.0000017
0.0000018,0.0000014,0.0000018,0.0000018
0.0000017,0.0000018,0.0000017,0.0000015
0.0000018,0.0000014,0.0000018,0.0000014
0.0000018,0.0000018,0.0000015,0.0000018
0.0000017,0.0000015,0.0000017,0.0000017
0.0000018,0.0000018,0.0000018,0.0000015
0.0000017,0.0000015,0.0000014,0.0000015
0.0000017,0.0000017,0.0000015,0.0000015
0.0000018,0.0000015,0.0000018,0.0000026
0.0000017,0.0000014,0.0000017,0.0000017
0.0000018,0.0000015,0.0000018,0.0000018
0.0000017,0.0000014,0.0000014,0.0000014
0.0000017,0.0000015,0.0000018,0.0000015
0.0000018,0.0000017,0.0000018,0.0000015
0.0000017,0.0000015,0.0000017,0.0000014
0.0000018,0.0000014,0.0000018,0.0000015
