Random,Ordered,Reverse,Shuffle
0.2055548,0.2009669,0.2015591,0.2020512
0.2022435,0.2013365,0.2009749,0.203661
0.2014094,0.202326,0.2017912,0.2017727
0.2017858,0.201338,0.2024826,0.2008336
0.2014843,0.2035796,0.2010339,0.201065
0.2093489,0.201092,0.2024557,0.2036893
0.2025644,0.2012213,0.201867,0.2020369
0.2036845,0.201615,0.2024586,0.2004507
0.201532,0.2030887,0.1995822,0.2017978
0.2011323,0.2010239,0.2019597,0.2010343
0.2042572,0.2008353,0.201417,0.2025569
0.2032127,0.2013547,0.2005451,0.2057718
0.202984,0.2025718,0.2019825,0.202212
0.2023258,0.2027298,0.2027376,0.2022541
0.2011206,0.2044922,0.2023851,0.2007731
0.2036174,0.2025659,0.2024077,0.2030016
0.2023505,0.2017356,0.2030509,0.201328
0.2012086,0.2014298,0.2021528,0.2008769
0.2013268,0.2008089,0.2012238,0.2021475
0.202829,0.2008465,0.2020346,0.2017049
0.2029032,0.2019986,0.2019141,0.2019624
0.2012341,0.2012406,0.2023008,0.2024535
0.201555,0.2015217,0.2054281,0.2004202
0.201871,0.2004817,0.2015894,0.2009275
0.2018743,0.2037973,0.2008453,0.2029468
0.2042675,0.2007151,0.2021738,0.2025592
0.2023818,0.2015262,0.2010378,0.2021397
0.2019778,0.2024959,0.2028555,0.2024215
0.2017602,0.2017576,0.2019789,0.2027133
0.2005904,0.2012045,0.2016742,0.2028134
0.2033963,0.2020762,0.2009434,0.2026144
0.2014758,0.2023376,0.2014512,0.2037174
0.2012522,0.2023749,0.2038231,0.2008081
0.2014287,0.2011668,0.2018481,0.2017247
0.2024845,0.2040439,0.2019884,0.203145
0.2041621,0.2018889,0.2016478,0.2027081
0.2018859,0.2012098,0.202882,0.2021844
0.2020835,0.2011101,0.2016747,0.2018783
0.2015077,0.2031881,0.2013523,0.2020016
0.2017729,0.2012921,0.2012411,0.2015384
0.2012344,0.2011874,0.2013991,0.2032142
0.2016343,0.2015825,0.2020196,0.2015838
0.2013164,0.201742,0.2032882,0.2015688
0.201807,0.202927,0.2021244,0.2009348
0.2008216,0.2012034,0.2014901,0.2009594
0.2033038,0.2018021,0.2016088,0.2032093
0.2022853,0.2014369,0.2033503,0.2025074
0.2014002,0.2005603,0.2016586,0.2023995
0.2027163,0.2017947,0.201635,0.2024883
0.2027319,0.2000933,0.2010061,0.2009302
0.2012206,0.2012049,0.2012774,0.20428
0.201938,0.2015045,0.2012937,0.2012318
0.201775,0.2004793,0.2036458,0.2003979
0.2018076,0.2029196,0.2010305,0.2013351
0.2017394,0.2029161,0.201283,0.2023791
0.2036232,0.20167,0.2018492,0.2016191
0.2008593,0.2034532,0.2029289,0.2003971
0.2019737,0.2020443,0.2012314,0.2007715
0.2021113,0.2025951,0.2023445,0.2003862
0.2026028,0.2006773,0.2015051,0.2003769
0.2026408,0.2004632,0.2014342,0.2033098
0.2005074,0.2011794,0.2014644,0.203119
0.2011025,0.2012093,0.2019798,0.2023407
0.2021722,0.2044471,0.2008227,0.2024714
0.2027712,0.2026505,0.2016303,0.2019725
0.2031831,0.2010551,0.2023182,0.2012624
0.2004328,0.2014598,0.2022449,0.2010407
0.2010453,0.2019041,0.2018011,0.2015003
0.1991721,0.20081,0.201237,0.2006343
0.2016116,0.200806,0.2003383,0.2027447
0.2028292,0.202013,0.2004977,0.2044922
0.2015419,0.2009784,0.2011895,0.2020661
0.2022885,0.2010223,0.202413,0.2016946
0.2019731,0.2032999,0.2024842,0.2010539
0.2023268,0.2004565,0.2010767,0.2034242
0.2025385,0.2023655,0.201532,0.2027453
0.2022484,0.2017046,0.2020571,0.2015942
0.2010217,0.2021934,0.2009863,0.2020193
0.2028535,0.2017868,0.2018731,0.2015413
0.2027622,0.2021703,0.201563,0.2023066
0.2003503,0.2011847,0.2015154,0.2032013
0.2016118,0.2014211,0.2037247,0.2005056
0.2024734,0.2018257,0.2026609,0.2006949
0.2020335,0.2032247,0.2015118,0.1998757
0.2122663,0.2009766,0.2017011,0.202843
0.2007964,0.2011142,0.2127968,0.2006258
0.2017883,0.2010504,0.2033938,0.2026341
0.2016285,0.201534,0.201628,0.2023775
0.2011451,0.2015087,0.2014428,0.2013458
0.201522,0.2005334,0.2008743,0.2013389
0.2022728,0.2025485,0.202281,0.203297
0.2020802,0.2015373,0.2038444,0.2007751
0.2014184,0.2020676,0.2009854,0.2023401
0.2013167,0.2039667,0.2011717,0.202986
0.203964,0.2014939,0.2017157,0.202816
0.2025756,0.201536,0.2018016,0.2009731
0.2018449,0.2020786,0.2026092,0.200946
0.2017198,0.2030349,0.2019457,0.2038062
0.2015975,0.2013382,0.2019375,0.2011902
0.2014866,0.2008973,0.201486,0.2011934
