Random,Ordered,Reversed,Shuffled
11.3249278,11.2341722,12.7930643,11.3339839
11.3178879,11.1725701,12.9495746,11.2471559
11.4469425,11.3441349,12.5915293,11.3928022
11.3196243,11.3839194,12.5546893,11.3880476
11.2587294,11.2244145,12.9009247,11.3350018
11.3303057,11.4058177,12.8396997,11.3590237
11.1824734,11.3669282,12.9272395,11.3682948
11.4508394,11.4313521,12.8792584,11.3402503
11.4862066,11.1886567,12.7095186,11.3900894
11.468417,11.3484852,12.9220625,11.2867907
11.2725173,11.2445025,12.649514,11.4102367
11.3138729,11.1766374,12.7560896,11.2762964
11.1598656,11.3154117,12.9308479,11.3070242
11.3818907,11.2234352,12.7627719,11.1826526
11.329157,11.2927804,12.8400209,11.1670812
11.5377514,11.3778106,12.6151631,11.2587387
11.3319333,11.2899398,12.5726897,11.3732615
11.3696426,11.3812909,12.8601076,11.3301778
11.3053812,11.357071,12.7186997,11.4775033
11.4038695,11.5764037,12.7681638,11.2266596
11.4116136,11.2496643,13.0842455,11.4844269
11.4910168,11.2568736,12.5743018,11.3632087
11.3034089,11.2093997,12.7471314,11.2792968
11.2165196,11.205288,12.6025562,11.4427751
11.2685381,11.4535491,12.7065584,11.4367024
11.1927203,11.5332261,12.7969444,11.3810553
11.3750686,11.3006528,12.4738803,11.4057379
11.2410304,11.1916606,12.4336016,11.2209065
11.4573566,11.4772821,12.8752936,11.3063937
11.3392268,11.3013857,12.935667,11.2599886
11.1749647,11.4934819,12.9171225,11.3474401
11.30903,11.5224958,13.1399987,11.3753088
11.2100729,11.4544634,12.7704762,11.3616113
11.218804,11.2603083,12.8641649,11.5002764
11.2432565,11.4102902,12.7075339,11.249775
11.1524021,11.3703073,12.85829,11.2322447
11.5049179,11.2414308,12.8678534,11.3398871
11.3540623,11.3088399,12.8504127,11.1982896
11.2971137,11.3190749,12.7583515,11.1907302
11.3680841,11.2331683,12.9413699,11.4076721
11.3102287,11.3068899,12.6145149,11.4815981
11.2345487,11.3742323,12.8049372,11.2357277
11.2767496,11.3661999,12.4981704,11.4170648
11.3560018,11.1938045,12.6562226,11.2961768
11.2813228,11.1670818,12.913313,11.1910448
11.2882403,11.3488123,12.4761706,11.2606621
11.222936,11.4631929,12.796555,11.3973335
11.2670231,11.315008,12.9619296,11.394108
11.3776242,11.3070874,12.9133106,11.2809091
11.269221,11.2574146,12.5919719,11.23092
11.3039972,11.4220262,12.928476,11.3313619
11.3273783,11.1772565,12.701678,11.2871528
11.2470169,11.2436597,12.6169042,11.2313448
11.2818634,11.3393835,12.5654957,11.2441328
11.2147192,11.3367859,12.6601521,11.2573607
11.2697689,11.310442,12.8606377,11.2540889
11.4129368,11.410419,12.8526647,11.3350688
11.2569675,11.5303388,12.950257,11.2850126
11.4502656,11.6152739,12.5164467,11.2257269
11.404008,11.2821072,12.8878213,11.3869842
11.2971917,11.3355357,12.9880669,11.2586342
11.2327787,11.363434,12.7444713,11.2219995
11.1493751,11.2437418,12.7402364,11.2581583
11.2782628,11.3338186,12.5079601,11.2423111
11.2791238,11.411231,12.7816737,11.3665268
11.2348673,11.3370539,13.0247912,11.3119268
11.4183261,11.4205562,12.81936,11.3053164
11.2769432,11.259763,13.0950458,11.288699
11.3708984,11.4028909,12.4592915,11.2952746
11.2472319,11.1746988,12.5978399,11.376363
11.284464,11.3803334,12.7426066,11.2771133
11.2848843,11.3023858,12.6032197,11.313296
11.323844,11.2162655,12.7216487,11.1821959
11.2547887,11.2829,12.8160671,11.1479617
11.2412309,11.408943,12.857547,11.3325242
11.3209649,11.3733779,12.605319,11.2388247
11.2855844,11.299819,12.5021704,11.4225033
11.2286328,11.3580896,12.8688321,11.2630866
11.3810298,11.2307776,12.6068048,11.3057036
11.2039585,11.3059399,12.8382585,11.3471864
11.2824632,11.3341077,12.7267276,11.2940118
11.2946534,11.3152898,12.6192698,11.2341828
11.2825305,11.331739,12.6062485,11.1819349
11.2954255,11.5746399,12.6811618,11.3933785
11.3553957,11.2931696,13.2945021,11.2164
11.2238696,11.3423414,12.7898949,11.2841315
11.1786713,11.2900221,12.8445308,11.2452182
11.3129122,11.3534387,12.8952986,11.2946315
11.3134189,11.3667351,12.6723251,11.255817
11.3231112,11.1938534,12.8146799,11.3191381
11.2610906,11.332529,13.0773465,11.2348872
11.2464618,11.2567861,13.0144152,11.256734
11.1748367,11.3119552,13.3851468,11.3735803
11.3327601,11.4563302,12.758036,11.1741407
11.2577635,11.3099236,12.7217791,11.4163043
11.2950678,11.3471393,12.8273331,11.362597
11.2036474,11.4190208,12.565661,11.3283078
11.2057048,11.2566588,12.6698207,11.3584418
11.3528921,11.2560957,12.8731647,11.4844036
11.370305,11.3230982,12.7753694,11.2550207
